Reg,REGTYPENAME,CLASSPROFILENAME,EONAME,EOTYPENAME,UKRTEST,UKRBALL100,HISTTEST,HISTLANG,HISTTESTSTATUS,HISTBALL100,MATHTEST,MATHLANG,MATHTESTSTATUS,MATHBALL100,PHYSTEST,PHYSLANG,PHYSTESTSTATUS,PHYSBALL100,CHEMTEST,CHEMLANG,CHEMTESTSTATUS,CHEMBALL100,BIOTEST,BIOLANG,BIOTESTSTATUS,BIOBALL100,GEOTEST,GEOLANG,GEOTESTSTATUS,GEOBALL100,ENGTEST,ENGTESTSTATUS,ENGBALL100,FRATEST,FRATESTSTATUS,FRABALL100,DEUTEST,DEUTESTSTATUS,DEUBALL100
Сихівський район міста,Випускник минулих років,,,,Українська мова і література,,Історія України,українська,Не з’явився,,Математика,українська,Не з’явився,,,,,,,,,,,,,,,,,,Англійська мова,Не з’явився,,,,,,,
Личаківський район міста,Випускник минулих років,,,,Українська мова і література,164,Історія України,українська,Зараховано,140,,,,,,,,,,,,,,,,,,,,,Англійська мова,Не з’явився,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,"Навчально-виховний комплекс ""Школа-ліцей ""Оріяна"" м. Львова",середня загальноосвітня школа,Українська мова і література,192,,,,,Математика,українська,Зараховано,143,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,177,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №60 м. Львова,середня загальноосвітня школа,Українська мова і література,148,,,,,Математика,українська,Зараховано,126,,,,,,,,,,,,,Географія,українська,Зараховано,155,Англійська мова,Зараховано,114,,,,,,
Шевченківський район міста,Випускник минулих років,,,,Українська мова і література,124,Історія України,українська,Зараховано,131,Математика,українська,Зараховано,110,,,,,,,,,,,,,Географія,українська,Зараховано,135,,,,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Спеціалізована середня загальноосвітня школа з поглибленим вивченням англійської мови №18 м. Львова,середня загальноосвітня школа,Українська мова і література,168,Історія України,українська,Зараховано,165,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,135,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська спеціалізована середня загальноосвітня школа №2 І-ІІІ ступенів з поглибленим вивченням англійської мови,спеціалізована школа,Українська мова і література,190,Історія України,українська,Зараховано,166,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,137,Англійська мова,Зараховано,186,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська спеціалізована середня загальноосвітня школа І-ІІІ ступенів №28 з поглибленим вивченням німецької мови,середня загальноосвітня школа,Українська мова і література,168,Історія України,українська,Зараховано,155,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,146,,,,,,,Німецька мова,Зараховано,186
Шевченківський район міста,Випускник минулих років,,,,,,Історія України,українська,Не з’явився,,,,,,,,,,,,,,,,,,Географія,українська,Не з’явився,,Англійська мова,Зараховано,129,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська спеціалізована середня загальноосвітня школа №37 з поглибленим вивченням французької мови,спеціалізована школа,Українська мова і література,169,,,,,Математика,українська,Зараховано,145,,,,,,,,,,,,,,,,,,,,Французька мова,Зараховано,107,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Фізико-математичний,Львівський фізико-математичний ліцей-інтернат при Львівському національному університеті імені Івана Франка,ліцей,Українська мова і література,179,,,,,Математика,українська,Зараховано,193,Фізика,українська,Зараховано,173,,,,,,,,,,,,,Англійська мова,Зараховано,170,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №41 м. Львова,середня загальноосвітня школа,Українська мова і література,133,Історія України,українська,Не подолав поріг,0,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,120,,,,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Фізико-математичний,Львівський фізико-математичний ліцей-інтернат при Львівському національному університеті імені Івана Франка,ліцей,Українська мова і література,155,,,,,Математика,українська,Зараховано,172,Фізика,українська,Зараховано,112,,,,,,,,,,,,,Англійська мова,Зараховано,116,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Фізико-математичний,Львівський фізико-математичний ліцей-інтернат при Львівському національному університеті імені Івана Франка,ліцей,Українська мова і література,193,,,,,Математика,українська,Зараховано,200,Фізика,українська,Зараховано,192,,,,,,,,,,,,,Англійська мова,Зараховано,190,,,,,,
Залізничний район міста,Випускник минулих років,,,,Українська мова і література,,,,,,Математика,російська,Не з’явився,,,,,,,,,,,,,,,,,,Англійська мова,Не з’явився,,,,,Німецька мова,Не з’явився,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Львівська гімназія ""Престиж"" з поглибленим вивченням іноземних мов",гімназія,Українська мова і література,187,Історія України,українська,Зараховано,144,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,175,,,,,,
Личаківський район міста,Випускник минулих років,,,,Українська мова і література,,Історія України,українська,Не з’явився,,,,,,,,,,,,,,Біологія,українська,Не з’явився,,,,,,Англійська мова,Не з’явився,,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Спеціалізована середня загальноосвітня школа з поглибленим вивченням англійської мови №18 м. Львова,середня загальноосвітня школа,Українська мова і література,167,,,,,Математика,українська,Зараховано,179,,,,,,,,,,,,,Географія,українська,Зараховано,189,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Львівський навчально-виховний комплекс ім. В. Симоненка з поглибленим вивченням німецької мови ""Спеціалізована школа І ступеня-гімназія""",навчально-виховний комплекс,Українська мова і література,199,Історія України,українська,Зараховано,187,Математика,українська,Зараховано,188,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,180,,,,,,
Шевченківський район міста,"Учень (слухач, студент) професійно-технічного, вищого навчального закладу",,,,Українська мова і література,,Історія України,українська,Не з’явився,,,,,,,,,,,,,,,,,,,,,,Англійська мова,Не з’явився,,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Львівська гімназія ""Престиж"" з поглибленим вивченням іноземних мов",гімназія,Українська мова і література,169,Історія України,українська,Зараховано,169,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,188,Англійська мова,Зараховано,172,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа І-ІІІ ступенів №20 м. Львова,середня загальноосвітня школа,Українська мова і література,104,Історія України,українська,Не подолав поріг,0,,,,,,,,,,,,,Біологія,українська,Зараховано,167,,,,,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Спортивний,"Комунальний заклад Львівської обласної ради ""Львівське училище фізичної культури"" (загальноосвітня школа-інтернат)",середня загальноосвітня школа-інтернат,Українська мова і література,148,Історія України,українська,Зараховано,153,,,,,,,,,,,,,Біологія,українська,Зараховано,160,,,,,,,,,,,Німецька мова,Зараховано,102
Галицький район міста,Випускник минулих років,,,,Українська мова і література,155,,,,,Математика,українська,Зараховано,145,,,,,,,,,Біологія,українська,Зараховано,130,,,,,Англійська мова,Зараховано,197,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Львівська гімназія ""Престиж"" з поглибленим вивченням іноземних мов",гімназія,Українська мова і література,133,Історія України,українська,Зараховано,136,,,,,,,,,,,,,Біологія,українська,Зараховано,162,,,,,,,,,,,,,
Залізничний район міста,Випускник минулих років,,,,Українська мова і література,121,Історія України,українська,Зараховано,125,Математика,українська,Не подолав поріг,0,Фізика,українська,Не подолав поріг,0,,,,,,,,,,,,,,,,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська спеціалізована середня загальноосвітня школа І-ІІІ ступенів №28 з поглибленим вивченням німецької мови,середня загальноосвітня школа,Українська мова і література,185,,,,,Математика,українська,Зараховано,182,,,,,,,,,,,,,Географія,українська,Не з’явився,,,,,,,,Німецька мова,Зараховано,182
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Математичний,"Львівська академічна гімназія при Національному університеті ""Львівська політехніка""",гімназія,Українська мова і література,184,,,,,Математика,українська,Зараховано,180,,,,,Хімія,українська,Зараховано,188,Біологія,українська,Зараховано,192,,,,,,,,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа І-ІІІ ступеня №91 м. Львова,середня загальноосвітня школа,Українська мова і література,188,,,,,Математика,українська,Зараховано,185,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,180,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №67 м. Львова,середня загальноосвітня школа,Українська мова і література,149,Історія України,українська,Не подолав поріг,0,,,,,,,,,,,,,Біологія,українська,Зараховано,136,,,,,,,,,,,,,
Шевченківський район міста,"Учень (слухач, студент) професійно-технічного, вищого навчального закладу",,,,Українська мова і література,108,Історія України,українська,Зараховано,114,Математика,українська,Не подолав поріг,0,,,,,,,,,Біологія,українська,Зараховано,149,,,,,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №96 МЖК-1,середня загальноосвітня школа,Українська мова і література,132,,,,,Математика,українська,Зараховано,103,,,,,,,,,,,,,Географія,українська,Зараховано,159,,,,,,,,,
Шевченківський район міста,Випускник минулих років,,,,Українська мова і література,143,Історія України,українська,Зараховано,128,Математика,українська,Зараховано,126,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,102,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Навчально-виховний комплекс ""Школа-гімназія ""Сихівська""",навчально-виховний комплекс,Українська мова і література,145,Історія України,українська,Зараховано,119,Математика,українська,Зараховано,110,,,,,,,,,,,,,,,,,,,,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №92,середня загальноосвітня школа,Українська мова і література,145,Історія України,українська,Зараховано,125,,,,,,,,,,,,,Біологія,українська,Зараховано,139,,,,,,,,,,,,,
Залізничний район міста,Випускник минулих років,,,,Українська мова і література,138,Історія України,українська,Зараховано,108,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,104,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,"КЗ ЛОР ""Львівська спеціальна загальноосвітня школа-інтернат Марії Покрови""",спеціальна загальноосвітня школа-інтернат,Українська мова і література,101,,,,,Математика,українська,Не з’явився,,,,,,,,,,,,,,,,,,,,,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Фізико-математичний,Львівський фізико-математичний ліцей-інтернат при Львівському національному університеті імені Івана Франка,ліцей,Українська мова і література,167,,,,,Математика,українська,Зараховано,189,Фізика,українська,Зараховано,176,,,,,,,,,,,,,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Класична гімназія при Львівському національному університеті імені Івана Франка,гімназія,Українська мова і література,193,Історія України,українська,Зараховано,192,,,,,,,,,,,,,Біологія,українська,Зараховано,193,,,,,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська спеціалізована середня загальноосвітня школа №2 І-ІІІ ступенів з поглибленим вивченням англійської мови,спеціалізована школа,Українська мова і література,168,Історія України,українська,Зараховано,190,Математика,українська,Зараховано,157,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,167,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Львівська правнича гімназія,гімназія,Українська мова і література,161,,,,,Математика,українська,Зараховано,179,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,172,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська спеціалізована середня загальноосвітня школа І-ІІІ ступенів №45 з поглибленим вивченням англійської мови,спеціалізована школа,Українська мова і література,139,Історія України,українська,Зараховано,162,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,151,,,,,,
Шевченківський район міста,"Учень (слухач, студент) професійно-технічного, вищого навчального закладу",,,,Українська мова і література,192,Історія України,українська,Зараховано,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Середня загальноосвітня школа №42 м. Львова,середня загальноосвітня школа,Українська мова і література,180,Історія України,українська,Зараховано,164,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,106,Англійська мова,Зараховано,129,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №100,середня загальноосвітня школа,Українська мова і література,186,Історія України,українська,Зараховано,168,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,156,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,"Приватна середня загальноосвітня школа ""Перспектива""",середня загальноосвітня школа,Українська мова і література,153,Історія України,українська,Зараховано,166,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,148,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №41 м. Львова,середня загальноосвітня школа,Українська мова і література,159,,,,,Математика,українська,Зараховано,157,,,,,,,,,,,,,Географія,українська,Зараховано,129,Англійська мова,Зараховано,145,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Математичний,"Навчально-виховний комплекс ""Інженерно-економічна школа - Львівський економічний ліцей""",навчально-виховний комплекс,Українська мова і література,186,,,,,Математика,українська,Зараховано,179,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,194,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Львівська середня загальноосвітня школа східних мов І-ІІІ ступенів,середня загальноосвітня школа,Українська мова і література,107,Історія України,українська,Не подолав поріг,0,Математика,російська,Зараховано,103,,,,,,,,,,,,,,,,,,,,,,,,,
Залізничний район міста,Випускник минулих років,,,,Українська мова і література,,Історія України,українська,Не з’явився,,Математика,українська,Не з’явився,,,,,,,,,,,,,,,,,,,,,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська спеціалізована середня загальноосвітня школа І-ІІІ ступенів №81 ім. Петра Сагайдачного з поглибленим вивченням англійської мови,середня загальноосвітня школа,Українська мова і література,148,,,,,Математика,українська,Зараховано,138,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,156,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Середня загальноосвітня школа №63 м.Львова,середня загальноосвітня школа,Українська мова і література,133,Історія України,українська,Зараховано,148,,,,,,,,,,,,,,,,,Географія,українська,Не з’явився,,Англійська мова,Не подолав поріг,0,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,"Навчально-виховний комплекс ""Школа-ліцей ""Оріяна"" м. Львова",середня загальноосвітня школа,Українська мова і література,187,Історія України,українська,Зараховано,173,Математика,українська,Зараховано,161,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,175,,,,,,
Залізничний район міста,Випускник минулих років,,,,Українська мова і література,,Історія України,українська,Не з’явився,,,,,,,,,,,,,,,,,,,,,,Англійська мова,Не з’явився,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Класична гімназія при Львівському національному університеті імені Івана Франка,гімназія,Українська мова і література,146,Історія України,українська,Зараховано,163,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,164,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інформаційно-технологічний,Середня загальноосвітня школа № 9 м.Львова,середня загальноосвітня школа,Українська мова і література,177,,,,,Математика,українська,Зараховано,189,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,145,,,,,,
Шевченківський район міста,"Учень (слухач, студент) професійно-технічного, вищого навчального закладу",,,,Українська мова і література,,Історія України,українська,Не з’явився,,,,,,,,,,,,,,,,,,,,,,Англійська мова,Не з’явився,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Спортивний,"Комунальний заклад Львівської обласної ради ""Львівське училище фізичної культури"" (загальноосвітня школа-інтернат)",середня загальноосвітня школа-інтернат,Українська мова і література,172,Історія України,українська,Зараховано,144,,,,,,,,,,,,,Біологія,українська,Зараховано,170,,,,,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Львівський навчально-виховний комплекс ім. В. Стуса ""спеціалізована школа І ступеня-гімназія міжнародних відносин""",навчально-виховний комплекс,Українська мова і література,193,,,,,Математика,українська,Зараховано,185,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,182,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,"Львівський навчально-виховний комплекс ім. В. Симоненка з поглибленим вивченням німецької мови ""Спеціалізована школа І ступеня-гімназія""",навчально-виховний комплекс,Українська мова і література,192,Історія України,українська,Зараховано,197,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,164,,,,,,
Франківський район міста,Випускник минулих років,,,,Українська мова і література,105,Історія України,українська,Не подолав поріг,0,Математика,українська,Не подолав поріг,0,,,,,,,,,,,,,Географія,українська,Не з’явився,,,,,,,,,,
Шевченківський район міста,Випускник минулих років,,,,Українська мова і література,188,,,,,Математика,українська,Зараховано,166,Фізика,українська,Зараховано,106,,,,,,,,,,,,,Англійська мова,Зараховано,162,,,,,,
м.Винники,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа І-ІІІ ступенів №47 м. Львова,середня загальноосвітня школа,Українська мова і література,155,Історія України,українська,Зараховано,171,,,,,,,,,,,,,,,,,,,,,Англійська мова,Не подолав поріг,0,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №60 м. Львова,середня загальноосвітня школа,Українська мова і література,186,Історія України,українська,Зараховано,175,,,,,,,,,,,,,Біологія,українська,Зараховано,165,,,,,,,,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №68 м. Львова,середня загальноосвітня школа,Українська мова і література,135,,,,,Математика,українська,Зараховано,136,,,,,Хімія,українська,Зараховано,134,Біологія,українська,Зараховано,123,,,,,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Класична гімназія при Львівському національному університеті імені Івана Франка,гімназія,Українська мова і література,193,Історія України,українська,Зараховано,200,Математика,українська,Зараховано,195,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,188,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Львівська правнича гімназія,гімназія,Українська мова і література,188,Історія України,українська,Зараховано,174,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,182,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Львівська правнича гімназія,гімназія,Українська мова і література,136,,,,,Математика,українська,Зараховано,113,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,109,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Середня загальноосвітня школа І-ІІІ ступенів № 51 ім. Івана Франка з поглибленим вивченням англійської мови м. Львова,середня загальноосвітня школа,Українська мова і література,195,Історія України,українська,Зараховано,182,Математика,українська,Зараховано,151,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,186,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,"Навчально-виховний комплекс ""Школа-ліцей ""Оріяна"" м. Львова",середня загальноосвітня школа,Українська мова і література,185,,,,,Математика,українська,Зараховано,188,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,164,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №86,середня загальноосвітня школа,Українська мова і література,104,Історія України,українська,Не подолав поріг,0,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,107,,,,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа І-ІІІ ступенів №78 м. Львова,середня загальноосвітня школа,Українська мова і література,133,,,,,Математика,українська,Зараховано,100,,,,,,,,,,,,,,,,,Англійська мова,Не з’явився,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,"Навчально-виховний комплекс ""Школа-ліцей ""Оріяна"" м. Львова",середня загальноосвітня школа,Українська мова і література,198,,,,,Математика,українська,Зараховано,185,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,196,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Середня загальноосвітня школа №33,середня загальноосвітня школа,Українська мова і література,168,,,,,Математика,українська,Зараховано,166,Фізика,українська,Зараховано,138,,,,,,,,,,,,,,,,,,,,,
Залізничний район міста,"Учень (слухач, студент) професійно-технічного, вищого навчального закладу",,,,Українська мова і література,126,Історія України,українська,Не з’явився,,Математика,українська,Не подолав поріг,0,,,,,,,,,,,,,Географія,українська,Зараховано,116,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Середня спеціалізована загальноосвітня школа №93 з поглибленим вивченням англійської мови,спеціалізована школа,Українська мова і література,177,,,,,Математика,українська,Зараховано,134,,,,,,,,,,,,,Географія,українська,Зараховано,180,Англійська мова,Зараховано,154,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Спеціалізована середня загальноосвітня школа №52 ім. М. Лобачевського з поглибленим вивченням математичних наук м. Львова,спеціалізована школа,Українська мова і література,136,,,,,Математика,російська,Зараховано,119,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,154,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №92,середня загальноосвітня школа,Українська мова і література,149,Історія України,українська,Зараховано,160,,,,,,,,,,,,,Біологія,українська,Зараховано,163,,,,,,,,,,,,,
Сихівський район міста,Випускник минулих років,,,,,,Історія України,українська,Зараховано,133,Математика,українська,Не подолав поріг,0,,,,,,,,,,,,,,,,,,,,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Середня загальноосвітня школа №63 м.Львова,середня загальноосвітня школа,Українська мова і література,154,Історія України,українська,Зараховано,131,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,127,Англійська мова,Зараховано,119,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,"Навчально-виховний комплекс ""Школа-ліцей ""Оріяна"" м. Львова",середня загальноосвітня школа,Українська мова і література,132,Історія України,українська,Зараховано,102,Математика,українська,Зараховано,103,,,,,,,,,,,,,Географія,українська,Зараховано,135,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №95,середня загальноосвітня школа,Українська мова і література,180,,,,,Математика,українська,Зараховано,141,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,127,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №1 м. Львова,середня загальноосвітня школа,Українська мова і література,178,,,,,Математика,українська,Зараховано,180,Фізика,українська,Зараховано,150,,,,,,,,,,,,,,,,,,,,,
